Age,Balance,Customer ID,Date Joined,Gender,Job Classification,Name,Number of Records,Region,Surname
22,182096.24,100101,05.Jan.15,Male,White Collar,Simon,1,England,Walsh
35,59071.568,100102,06.Jan.15,Female,Blue Collar,Jasmine,1,Northern Ireland,Miller
47,162458.928,100103,07.Jan.15,Male,White Collar,Liam,1,England,Brown
33,2274.432,100104,08.Jan.15,Male,White Collar,Trevor,1,Wales,Parr
39,57023.664,100105,09.Jan.15,Female,Blue Collar,Deirdre,1,England,Pullman
31,195910.032,100106,09.Jan.15,Female,Blue Collar,Ava,1,Wales,Coleman
35,68607.744,100107,11.Jan.15,Female,Blue Collar,Dorothy,1,England,Thomson
49,58688.272,100108,11.Jan.15,Female,Other,Lisa,1,Scotland,Knox
34,118854.96,100109,11.Jan.15,Female,White Collar,Ruth,1,Wales,Campbell
43,17459.92,100110,12.Jan.15,Male,White Collar,Dominic,1,England,Parr
41,63468.528,100111,12.Jan.15,Male,White Collar,Dominic,1,England,Lewis
40,51650.592,100112,12.Jan.15,Male,White Collar,Benjamin,1,England,Grant
25,65250.608,100113,12.Jan.15,Male,White Collar,Ryan,1,England,MacDonald
47,78066.336,100114,12.Jan.15,Male,Other,Thomas,1,Scotland,Lawrence
37,4553.648,100115,12.Jan.15,Female,Other,Madeleine,1,Wales,Marshall
43,3386.96,100116,14.Jan.15,Male,White Collar,Nicholas,1,England,Newman
32,16570.096,100117,14.Jan.15,Female,Other,Grace,1,Scotland,Hill
43,6082.704,100118,14.Jan.15,Female,Other,Samantha,1,Scotland,Coleman
41,104855.504,100119,15.Jan.15,Male,Blue Collar,William,1,England,Ince
47,18340.224,100120,15.Jan.15,Female,Blue Collar,Audrey,1,England,Jones
38,50846.24,100121,16.Jan.15,Male,Other,Boris,1,Wales,Johnston
59,34004.752,100122,18.Jan.15,Male,Blue Collar,Jason,1,Scotland,Butler
42,106857.248,100123,18.Jan.15,Female,White Collar,Deirdre,1,Wales,McDonald
53,10529.296,100124,19.Jan.15,Male,Blue Collar,Carl,1,Scotland,Quinn
39,32808.512,100125,20.Jan.15,Female,White Collar,Jennifer,1,England,Hughes
56,69198.816,100126,21.Jan.15,Male,Blue Collar,Richard,1,Scotland,Fraser
38,6347.52,100127,23.Jan.15,Female,White Collar,Rachel,1,Northern Ireland,McGrath
34,5485.696,100128,25.Jan.15,Female,White Collar,Alison,1,England,Fisher
51,32825.76,100129,25.Jan.15,Male,Blue Collar,Lucas,1,Scotland,Mackenzie
43,17302.128,100130,27.Jan.15,Male,White Collar,Luke,1,England,Wilkins
26,62223.616,100131,28.Jan.15,Female,White Collar,Megan,1,England,Bell
31,22550.416,100132,28.Jan.15,Male,White Collar,Warren,1,Wales,Edmunds
59,41384.32,100133,29.Jan.15,Female,Other,Grace,1,Scotland,Chapman
27,9333.792,100134,30.Jan.15,Male,Other,Jake,1,England,Wilson
35,124495.344,100135,31.Jan.15,Female,Blue Collar,Karen,1,England,Dyer
37,50689.072,100136,31.Jan.15,Female,White Collar,Yvonne,1,England,Thomson
